adj_close,percent_b,band_width,p_b_ratio,p_e_ratio,eps_diluted,next_price
1.839918,0.2679202078713855,7.724032781942028,0,0,0,2
2.3077919999999996,0.12877631634874723,10.527903841608548,6.32,0,0,2
2.566127,0.20595675368539162,5.188270080709604,5.19,0,0,2
3.214835,0.42387048368818275,11.940891388399297,5.46,0,0,2
4.176415,0.7756203691884574,14.401756008691255,5.64,0,0,1
4.052989,0.1130498146053143,12.287513336488729,10.84,41.86,0,2
4.718918,0.654251530820669,13.012912999226744,8.98,32.33,0,2
5.61735,0.5509376771309785,6.189253938085797,10.22,35.92,0,1
6.0679989999999995,0.5508932415881751,17.062726610674382,10.68,35.87,0,2
8.565238,0.2605225098078006,14.167951045109431,11.52,48,0,2
11.475814,0.327354043944258,11.6271578012387,14.79,49.52,0,1
12.296742,0.39010674730818123,7.562290789957596,15.43,52.21,0,2
16.602331,0.9595290463765065,16.75522326339875,15.31,52.44,0.5,2
20.092714,0.9216504749010248,37.68569397040455,15.97,60.83,0,1
19.116785,0.37246014198147237,17.97887025618072,16.03,62.99,0.62,2
34.054287,0.8986126651571352,22.00682550423724,18.15,68.34,0.35,1
33.503174,0.9473888488462574,20.46895419215736,16.98,66.33,0.39,1
33.061108000000004,0.13386987291320426,9.906915269518894,16.46,64.44,0.4,2
42.826187,0.6890497700100567,39.666741434331584,16.8,67.88,0.44,0
33.388344000000004,0.07748554421943041,23.27088848487085,15.57,65.43,0.43,0
29.392782,0.7876988684684666,25.84873373081244,10.38,47.25,0.43,0
21.723103,0.0925730905552578,22.03380127899456,9.22,41.86,0.4,1
20.506044,0.5404126527777898,18.845601342198446,6.21,31.24,0.44,2
25.93911,0.49763482404555315,11.692746830973679,7.03,36.1,0.01,0
19.028152,0.31705190680817785,25.213561495120434,6.98,46.32,0.23,2
22.184198000000002,0.29473126912393005,10.457095101161041,6.71,58.64,0.49,0
19.347794,0.353909896014319,11.91032844237941,5.44,47.81,0.28,0
16.98535,0.36256995240156764,12.187335573107962,5.04,34.65,0.5,1
17.950382,0.42282449371886505,19.26523701728484,4.91,29.47,0.26,1
19.277314999999998,0.7782911047330777,12.579749087830397,4.61,28.27,0.17,1
21.024435,0.473611984369607,8.48489540052152,4.92,30.33,0.24,0
18.592249,0.47669547495019,7.941301804554716,4.12,32.69,0.12,2
21.223923000000003,0.7716526620404741,13.924484778659101,4.1,40.03,0.25,1
21.004005,1.3560899454918909,3.7072411131498186,4.06,37.25,0.23,1
19.934526,0.11013920869525695,2.798854973688769,4.04,38.19,0.32,1
18.0368,0.26588783773463753,8.836273776394057,5.85,27.59,0.23,1
18.536615,-0.04772399338937105,3.4327647776831514,5.73,24.36,0.34,1
19.185987,0.27117137929732926,8.544098608525195,5.84,23.41,0.29,1
20.867176,0.8079538319741387,3.9836352999563474,6.36,22.7,0.29,0
18.014534,0.9756376905588645,11.0409127858776,6,19.6,0.28,2
20.87311,0.784071074231962,10.50766276986576,6.19,20.73,0.35,1
21.308987,0.5352943429018004,5.935562106342241,7.76,24.61,0.5,1
22.91934,0.320471927261733,5.21364666711864,8.02,21.12,0.31,1
23.022875,0.9876421297458777,5.648410901781059,8.94,20.9,0.45,1
22.978432,0.9089336688479336,8.615831367561379,8.49,17.85,0.47,1
21.006899,0.029491335695358615,8.76654814698677,7.35,17.12,0.45,1
20.784558999999998,0.6106365967241322,12.860951156747225,6.55,13.9,0.48,0
15.364023000000001,0.9629319243365303,26.838312273732196,4.62,9.59,0.33,2
19.248924,0.8035893160564342,12.051353775301914,5.12,12.29,0.34,1
20.033535,0.31763159624596815,7.606691836670361,5.43,14.9,0.4,2
23.693872,0.3636921395539379,5.4195215442851135,5.82,16.25,0.45,0
18.903522,0.031249510384810487,16.95803802635991,5.22,14.13,0.51,1
20.005447,0.3619262394676342,7.976552512325356,4.6,11.7,0.62,2
23.100567,0.6545703930468455,6.386441135115812,4.8,11.35,0.77,1
21.160873000000002,0.5208655636533308,5.271280392688071,4.69,11.52,0.61,1
21.750985999999997,0.9791095403853248,12.322170322001854,3.98,10.06,0.69,1
20.634867,0.05429884525822555,11.814648579814662,3.81,9.65,0.68,2
27.547358000000003,0.5505833957882844,4.26439946753193,3.88,10.75,0.6,1
26.242527000000003,0.7701766581330517,8.89897995144331,3.75,11.13,-0.06,1
25.491459,-0.07340080852141628,6.969088699602555,3.8,15.04,0.53,1
25.140432,1.040931484598044,2.860862709091836,3.17,15.01,0.72,2
30.404847999999998,0.416267040711323,7.2887822837617104,3.48,16.38,0.57,1
29.924017,0.8219353064998964,9.254355422134292,3.55,13.03,0.62,2
37.46925,0.9542726336481977,12.490417652619069,3.71,14.15,0.68,1
38.143528,0.706867449890744,4.668507031292274,3.82,15.25,0.55,2
42.076027,0.18926202520022212,4.326530880268044,4.07,16.85,0.54,0
37.83033,0.14591756371639233,7.756928403707845,3.93,17.77,0.61,1
41.564003,0.05008317683290738,6.235426937831878,4.02,18.6,-0.39,1
41.988693,0.9464012443856479,4.607264163444986,4.4,29.97,0.57,2
53.035309,0.8993749643270407,9.1689512482236,4.54,31.26,0.47,1
49.167969,0.6089404270299098,8.072768392893535,4.71,35.3,0.44,2
55.528156,0.5750755849206391,3.6751292175543604,5.9,25.98,0.6,2
64.205444,0.8335922350528168,2.669131810252561,7.2,29.53,0.61,1
67.154427,0.04322412007186426,6.547068254870545,7.63,29.81,0.84,2
